char,cj,wubi98,wubi86,sijiao,zhengma,terra,bopomofo,flypy,ms,zrm,sogou,abc,ziguang,moqi_aux,xh_aux,zrm_aux,lvl
聣,尸十竹難山,beq|beqn,bvqn,17412,cenr,ni2,ㄋㄧˊ,ni,ni,ni,ni,ni,ni,ee,,ee,
聤,尸十卜口弓,byps,byps,10421,cewa,ting2,ㄊㄧㄥˊ,tk,t;,ty,t;,ty,t;,ed,,et,
聥,尸十竹中月,btky,btky,12427,ceil,ju3,ㄐㄩˇ,ju,ju,ju,ju,ju,ju,ey,,ey,
聦,尸十心大心,bqr|bqrn,bqrn,17432,cesw,cong1,ㄘㄨㄥ,cs,cs,cs,cs,cs,ch,ex,,ec,
聧,尸十弓人大,bwgd,bwgd,12484,cea|ceag,kui1,ㄎㄨㄟ,kv,kv,kv,kv,km,kn,et,,eg|et,
聨,尸十女戈廿,bxxa,bxxa,12443,ceze,lian2,ㄌㄧㄢˊ,lm,lm,lm,lm,lw,lf,ec,,ec,
聩,尸十中一人,bkh|bkhm,bkh|bkhm,15482,ceal|cja|cji|cjl,kui4,ㄎㄨㄟˋ,kv,kv,kv,kv,km,kn,eb,er,eg,2.0
聪,尸十金口心,bukn,bukn,18436,cejw|cuj|cuw,cong1,ㄘㄨㄥ,cs,cs,cs,cs,cs,ch,ex,ex,ez,1.0
聫,尸十女戈大,bxxd,bxxd,12484,cezg,lian2,ㄌㄧㄢˊ,lm,lm,lm,lm,lw,lf,ed,,ed,
聬,尸十金戈一,bwcn,bwcn,18427,ceyy,weng3,ㄨㄥˇ,wg,wg,wg,wg,wg,wt,ex,,ew,
聭,尸十竹山戈,brqc,brqc,16413,cenj,kui4,ㄎㄨㄟˋ,kv,kv,kv,kv,km,kn,eg,,eg,
聮,尸十女戈火|重尸十女戈,bxxo,bxxo,12493,cezu,lian2,ㄌㄧㄢˊ,lm,lm,lm,lm,lw,lf,eh,,es,
聯,尸十女戈廿,bxxg,bxxg,12472,cezz,lian2,ㄌㄧㄢˊ,lm,lm,lm,lm,lw,lf,ej,,ea,
聰,尸十竹田心,btl|btln,btln,16430,cerw,cong1,ㄘㄨㄥ,cs,cs,cs,cs,cs,ch,ex,,ec|ex,
聱,土大尸十|手大尸十,gqtb,gqtb,58401,cim|cimc|cyc,ao2|you2,ㄠˊ|ㄧㄡˊ,ao|yz,ok|yb,ao|yb,ok|yb,ok|yb,oq|yz,fe,fe,ea,2.0
聲,土水尸十,fnwb,fnmb,47401,bxqc,sheng1,ㄕㄥ,ug,ug,ug,ug,vg,it,te,,eq|eu,
聳,竹人尸十,tww|twwb,twwb,28401,oiic,song3,ㄙㄨㄥˇ,ss,ss,ss,ss,ss,sh,re,,ec|ev,
聴,尸十十田心,bfl|bfln,bfln,14436,celw,ting1,ㄊㄧㄥ,tk,t;,ty,t;,ty,t;,ex,,ex,
聵,尸十中一金,bkhm,bkhm,15486,ceal,kui4,ㄎㄨㄟˋ,kv,kv,kv,kv,km,kn,eb,,eg,
聶,尸十尸十十,bbbf,bbbf,10441,cecc,nie4|zhe2|she4|ye4,ㄋㄧㄝˋ|ㄓㄜˊ|ㄕㄜˋ|ㄧㄝˋ,np|ve|ue|ye,nx|ve|ue|ye,nx|ve|ue|ye,nx|ve|ue|ye,nx|ae|ve|ye,nd|ue|ie|ye,ee,,ee,
職,尸十卜戈日,byu|byuj,buaj,13450,cekh,zhi2|te4,ㄓˊ|ㄊㄜˋ,vi|te,vi|te,vi|te,vi|te,ai|te,ui|te,eo,,eg|ev,
聸,尸十弓金口,bqdy,bqdy,17461,ceos,dan1,ㄉㄢ,dj,dj,dj,dj,dj,dr,ek,,ev|ey,
聹,尸十十心弓,bpn|bpns,bpns,13421,cela,ning2,ㄋㄧㄥˊ,nk,n;,ny,n;,ny,n;,ed,,en,
聺,尸十十月火,bpwi,bpwi,13491,cer|cerb,qie2,ㄑㄧㄝˊ,qp,qx,qx,qx,qx,qd,eu,,ei,
聻,水中尸十,ilrb,ilrb,32401,vfpc,ni3|jian4,ㄋㄧˇ|ㄐㄧㄢˋ,ni|jm,ni|jm,ni|jm,ni|jm,ni|jw,ni|jf,de,,ej,
聼,一十十田心|弓十十田心,nbf|nbfn,nbfn,14431,xcaw,ting1,ㄊㄧㄥ,tk,t;,ty,t;,ty,t;,ex,,ax|ex|vx,
聽,尸土十田心,bgfn,bgfn,14131,ceaw,ting1,ㄊㄧㄥ,tk,t;,ty,t;,ty,t;,ex,,ex,
聾,卜心尸十,uegb,uegb,01401,sic|sice,long2,ㄌㄨㄥˊ,ls,ls,ls,ls,ls,lh,le,,el,
聿,中手,vgk,vfhk,50007,xbb|xbbd|xbd,yu4,ㄩˋ,yu,yu,yu,yu,yu,yu,yg,vl,aa|vu,2.0
肀,十尸,vh|vhk,vhk,50007,aapp|xba,yu4,ㄩˋ,yu,yu,yu,yu,yu,yu,el,,aa|vu|yv,
肁,竹尸中手|戈尸中手,ynvg,ynvh,30257,wmxb,zhao4,ㄓㄠˋ,vc,vk,vk,vk,ak,uq,hy,,hy,
肂,一弓中手,gqvg,gqvh,15207,arxb,si4,ㄙˋ,si,si,si,si,si,si,dy,,dy,
肃,中中火中,vh|vhj|vhjw,vij|vijk,50227,xbn|xbno|xn|xno,su4,ㄙㄨˋ,su,su,su,su,su,su,yb,vd,ad|vd|yd,1.0
肄,心大中手,xtdg,xtdh,25807,rmx|rrx|rrxb,yi4|si4,ㄧˋ|ㄙˋ,yi|si,yi|si,yi|si,yi|si,yi|si,yi|si,by,by,by|yu,2.0
肅,中難,vfjk,vhth,50222,xbn|xbnd,su4,ㄙㄨˋ,su,su,su,su,su,su,yp,,ya|zs,
肆,尸戈中手,dv|dvg|dvgh,dv|dvf|dvfh,75707,chx|chxb|cxb,si4|ti4,ㄙˋ|ㄊㄧˋ,si|ti,si|ti,si|ti,si|ti,si|ti,si|ti,ey,ay,yi|ys,1.0
肇,竹大中手|戈大中手|一大中手,yntg,ynth,38507,wmx|wmxb,zhao4,ㄓㄠˋ,vc,vk,vk,vk,ak,uq,hy,hy,hy|yw,1.0
肈,竹戈中手|戈戈中手,yna|ynag,ynah,33507,wmxb,zhao4,ㄓㄠˋ,vc,vk,vk,vk,ak,uq,hy,,yg,
肉,人月人,mww|mwwi,mww|mwwi,40227,ldoo|loo,rou4|ru4,ㄖㄡˋ|ㄖㄨˋ,rz|ru,rb|ru,rb|ru,rb|ru,rb|ru,rz|ru,nr,nr,ad|kr,1.0
肊,月弓,enn,enn,77210,qyd|qyda,yi4,ㄧˋ,yi,yi,yi,yi,yi,yi,ov,,oy,
肋,月大尸,eet,el|eln,74227,qym,le1|lei4|le4|jin1,ㄌㄜ|ㄌㄟˋ|ㄌㄜˋ|ㄐㄧㄣ,le|lw|jb,le|lz|jn,le|lz|jn,le|lz|jn,le|lq|jc,le|lk|jy,ol,ol,ol,1.0
肌,月竹弓,ewn,em|emn,77210,qqd,ji1|ji4,ㄐㄧ|ㄐㄧˋ,ji,ji,ji,ji,ji,ji,oj,oj,oj,1.0
肍,月大弓|重月大弓,evn,evn,74217,qqy,qiu2,ㄑㄧㄡˊ,qq,qq,qq,qq,qr,qj,oj,,oj,
肎,月月|重月月,pef,pef,37227,wwq,ken3,ㄎㄣˇ,kf,kf,kf,kf,kf,kw,bo,,bo,
肏,人人月人,tymw,tymw,80227,odao,cao4,ㄘㄠˋ,cc,ck,ck,ck,ck,cq,rr,rr,rr,
肐,月人弓,etnn,etnn,78217,qmy|qmyd,ge1|qi4,ㄍㄜ|ㄑㄧˋ,ge|qi,ge|qi,ge|qi,ge|qi,ge|qi,ge|qi,ov,,oq,
肑,月心戈|月心一,eqyy,eqyy,77220,qrs,bo2|di2,ㄅㄛˊ|ㄉㄧˊ,bo|di,bo|di,bo|di,bo|di,bo|di,bo|di,ou,,ou,
肒,月大弓戈|月大弓大,evyy,evyy,75217,qqs|qqya,huan4,ㄏㄨㄢˋ,hr,hr,hr,hr,hp,hl,ow,,ow,
肓,卜女月,ynef,ynef,00227,shq|sq,huang1,ㄏㄨㄤ,hl,hd,hd,hd,ht,hg,wo,wo,ow,2.0
肔,月心木,ebn,ebn,74212,qyi,chi3,ㄔˇ,ii,ii,ii,ii,ei,ai,oy,,oy,
肕,月尸竹竹|月尸竹戈|重月尸竹竹,evyy,evyy,77220,qys,ren4,ㄖㄣˋ,rf,rf,rf,rf,rf,rw,or,,or,
肖,火月,ie|ief,ie|ief,90227,koq,xiao4|xiao1,ㄒㄧㄠˋ|ㄒㄧㄠ,xn,xc,xc,xc,xz,xb,xo,xo,ox|xo,1.0
肗,月女|重月女,evg,evg,74240,qzm,ru3,ㄖㄨˇ,ru,ru,ru,ru,ru,ru,on,,on,
肘,月木戈,efy,efy,74200,qds,zhou3,ㄓㄡˇ,vz,vb,vb,vb,ab,uz,oc,oc,oc,1.0
肙,口月,kef,kef,60227,jqv|jqvv,yuan4,ㄩㄢˋ,yr,yr,yr,yr,yp,yl,ko,,ko|ky,
肚,月土,ef|efg,efg,74210,qbv|qbvv,du4|du3,ㄉㄨˋ|ㄉㄨˇ,du,du,du,du,du,du,ot,ot,ot,1.0
肛,月一|重月一,ea|eag,ea|eag,71212,qbi,gang1,ㄍㄤ,gh,gh,gh,gh,gh,gs,og,og,og,1.0
肜,月竹竹竹,eet,eet,72222,qpd,rong2|chen1,ㄖㄨㄥˊ|ㄔㄣ,rs|if,rs|if,rs|if,rs|if,rs|ef,rh|aw,op,,op,
肝,月一十,efh,ef|efh,71240,qa|qae|qaed,gan1,ㄍㄢ,gj,gj,gj,gj,gj,gr,og,og,og,1.0
肞,月水戈|月戈大|重月戈大,eyry,ecyy,77243,qsos|qxs,cha1,ㄔㄚ,ia,ia,ia,ia,ea,aa,oi,,oi,
肟,月一一尸,efn|efnn,efn|efnn,71227,qbz,wo4,ㄨㄛˋ,wo,wo,wo,wo,wo,wo,ok,ok,ok,2.0
肠,月弓尸竹,enr|enrt,enr|enrt,77227,qy|qyod,chang2,ㄔㄤˊ,ih,ih,ih,ih,eh,as,op,op,oy,1.0
股,月竹弓水,ewc|ewcy,emc|emcy,77247,qq|qqx,gu3,ㄍㄨˇ,gu,gu,gu,gu,gu,gu,ou,oy,ou,1.0
肢,月十水,efc|efcy,efc|efcy,74247,qex|qexs,zhi1|shi4,ㄓ|ㄕˋ,vi|ui,vi|ui,vi|ui,vi|ui,ai|vi,ui|ii,ov,oy,ov,1.0
肣,月人戈弓,ewyn,ewyn,78227,qosx,han2|han4|qin2,ㄏㄢˊ|ㄏㄢˋ|ㄑㄧㄣˊ,hj|qb,hj|qn,hj|qn,hj|qn,hj|qc,hr|qy,ov,,oj,
肤,月手人,egy,efw|efwy,75280,qbo|qbod,fu1,ㄈㄨ,fu,fu,fu,fu,fu,fu,of,of,of,1.0
肥,月日山,ec|ecn,ec|ecn,77217,qyi|qyia,fei2|bi3,ㄈㄟˊ|ㄅㄧˇ,fw|bi,fz|bi,fz|bi,fz|bi,fq|bi,fk|bi,ob,ob,ob,1.0
肦,月金尸竹|重月金尸竹,muwv,ewvn,78227,qoyd,fen2,ㄈㄣˊ,ff,ff,ff,ff,ff,fw,of,,of,
肧,月一火,edhy,egiy,71290,qgi,pei1,ㄆㄟ,pw,pz,pz,pz,pq,pk,ob,,ob,
肨,月手十,edhh,edhh,75200,qci,pang4|pang1|feng1,ㄆㄤˋ|ㄆㄤ|ㄈㄥ,ph|fg,ph|fg,ph|fg,ph|fg,ph|fg,ps|ft,of,,of,
肩,竹尸月|戈尸月|一尸月,yned,yned,30227,wmq|wq,jian1|xian2,ㄐㄧㄢ|ㄒㄧㄢˊ,jm|xm,jm|xm,jm|xm,jm|xm,jw|xw,jf|xf,ho,ho,ho|oh,1.0
肪,月卜竹尸,ey|eyt,eyn,70227,qsy,fang2,ㄈㄤˊ,fh,fh,fh,fh,fh,fs,of,of,of,1.0
肫,月心山,egb|egbn,egb|egbn,75217,qhz|qhzi,zhun1|chun2|tun2|zhuo1,ㄓㄨㄣ|ㄔㄨㄣˊ|ㄊㄨㄣˊ|ㄓㄨㄛ,vy|iy|ty|vo,vp|ip|tp|vo,vp|ip|tp|vo,vp|ip|tp|vo,an|en|tn|ao,um|am|tm|uo,ot,ot,ot,2.0
肬,月戈大山,edn|edny,ednn,73212,qgr,you2,ㄧㄡˊ,yz,yb,yb,yb,yb,yz,oy,,oy,
肭,月人月,emw|emwy,emw|emwy,74227,qlod,na4|nu4,ㄋㄚˋ|ㄋㄨˋ,na|nu,na|nu,na|nu,na|nu,na|nu,na|nu,on,on,on,3.0
肮,月卜竹弓,eyw|eywn,eym|eymn,70217,qsq|qsqd,ang1|hang2|gang1,ㄤ|ㄏㄤˊ|ㄍㄤ,ah|hh|gh,oh|hh|gh,ah|hh|gh,oh|hh|gh,oh|hh|gh,os|hs|gs,oj,oj,ok,1.0
肯,卜一月,he|hef,he|hef,21227,iiq|iq,ken3,ㄎㄣˇ,kf,kf,kf,kf,kf,kw,vo,vo,ov|vo,1.0
肰,月戈大,edy,edy,73284,qgs,ran2,ㄖㄢˊ,rj,rj,rj,rj,rj,rr,oq,,oq,
肱,月大戈,edc|edcy,edc|edcy,74232,qgz|qgzs,gong1,ㄍㄨㄥ,gs,gs,gs,gs,gs,gh,os,os,oh|os,2.0
育,卜戈月,yce|ycef,yce|ycef,00227,sz|szq,yu4|zhou4|yo1,ㄩˋ|ㄓㄡˋ|ㄧㄛ,yu|vz|yo,yu|vb|yo,yu|vb|yo,yu|vb|yo,yu|ab|yo,yu|uz|yo,wo,wo,os|wo,1.0
肳,月心竹竹,eqrt,eqrt,77220,qrod,wen3,ㄨㄣˇ,wf,wf,wf,wf,wf,ww,ow,,ow,
肴,大大月,rde|rdef,qde|qdef,40227,ogq|osgq,yao2,ㄧㄠˊ,yc,yk,yk,yk,yk,yq,xo,xo,ou,1.0
肵,月竹一中,erh,erh,72221,qpd,qi2,ㄑㄧˊ,qi,qi,qi,qi,qi,qi,oj,,oj,
肶,月心心,exxn,exxn,72210,qrrr,pi2|bi4,ㄆㄧˊ|ㄅㄧˋ,pi|bi,pi|bi,pi|bi,pi|bi,pi|bi,pi|bi,ob,,ob,
肷,月弓人,eqw|eqwy,eqw|eqwy,77282,qro,qian3|xu4,ㄑㄧㄢˇ|ㄒㄩˋ,qm|xu,qm|xu,qm|xu,qm|xu,qw|xu,qf|xu,oq,or,oq,3.0
肸,月金十,ewfh,ewfh,78240,qoe|qoed,xi1|bi4,ㄒㄧ|ㄅㄧˋ,xi|bi,xi|bi,xi|bi,xi|bi,xi|bi,xi|bi,ou,ou,ou,3.0
肹,月金一尸,ewgn,ewgn,78227,qoaz,xi1,ㄒㄧ,xi,xi,xi,xi,xi,xi,ok,,ox,
肺,月十月|月卜中月,egm|egmh,egm|egmh,75227,qal|qali,fei4|pei4,ㄈㄟˋ|ㄆㄟˋ,fw|pw,fz|pz,fz|pz,fz|pz,fq|pq,fk|pk,oj,ol|oj,of|oj,1.0
肻,卜月月,hpe|hpef,hpef,21227,idw|idwq,ken3,ㄎㄣˇ,kf,kf,kf,kf,kf,kw,bo,,bo|by|ob,
肼,月廿廿|重月廿廿,efj|efjh,efj|efjh,75200,qbn|qbnd,jing3,ㄐㄧㄥˇ,jk,j;,jy,j;,jy,j;,oj,oj,oj,2.0
肽,月大戈|重月大戈,edy|edyy,edy|edyy,74230,qgs,tai4,ㄊㄞˋ,td,tl,tl,tl,tl,tp,ot,ot,ot,2.0
肾,中水月,jce|jcef,jce|jcef,27227,kdxq|kxq,shen4,ㄕㄣˋ,uf,uf,uf,uf,vf,iw,lo,lo,oy,1.0
肿,月中,ekh|ekhh,ek|ekh|ekhh,75206,qj|qji|qjv,zhong3,ㄓㄨㄥˇ,vs,vs,vs,vs,as,uh,ov,ov,ov,1.0
胀,月心人,eta|etay,eta|etay,72234,qc|qch,zhang4,ㄓㄤˋ,vh,vh,vh,vh,ah,us,oi,oi,oi,1.0
胁,月大尸金,eew|eewy,elw|elwy,74230,qyo,xie2,ㄒㄧㄝˊ,xp,xx,xx,xx,xx,xd,ob,ob,ob,1.0
胂,月中田中,ejhh,ejhh,75206,qkic,shen4|shen1|chen1,ㄕㄣˋ|ㄕㄣ|ㄔㄣ,uf|if,uf|if,uf|if,uf|if,vf|ef,iw|aw,ou,ou,ou,2.0
胃,田月,le|lef,le|lef,60227,kiq|kq,wei4,ㄨㄟˋ,ww,wz,wz,wz,wq,wk,to,to,ot|to,1.0
胄,中田月,me|mef,mef,50227,kiaq|kiq|kq,zhou4,ㄓㄡˋ,vz,vb,vb,vb,ab,uz,yo,yo,oy,2.0
胅,月竹手人,etgy,erwy,75280,qmo|qmod,die2,ㄉㄧㄝˊ,dp,dx,dx,dx,dx,dd,of,,ou,
胆,月日一,ej|ejg|ejgg,ej|ejg|ejgg,76210,qk|qka,dan3|tan2|tan3|da2,ㄉㄢˇ|ㄊㄢˊ|ㄊㄢˇ|ㄉㄚˊ,dj|tj|da,dj|tj|da,dj|tj|da,dj|tj|da,dj|tj|da,dr|tr|da,od,oa,od,1.0
胇,月中中弓,exjh,exjh,75227,qynd,fei4|bi4|fei3,ㄈㄟˋ|ㄅㄧˋ|ㄈㄟˇ,fw|bi,fz|bi,fz|bi,fz|bi,fq|bi,fk|bi,of,,of,
胈,月戈大水|月戈大大,edcy,edcy,73247,qgxs,ba2,ㄅㄚˊ,ba,ba,ba,ba,ba,ba,oy,od,ob,3.0
胉,月竹日,erg,erg,76202,qnk,bo2,ㄅㄛˊ,bo,bo,bo,bo,bo,bo,ob,,ob,
胊,月心口|重月心口,muqk,eqkg,77220,qrj,qu2,ㄑㄩˊ,qu,qu,qu,qu,qu,qu,oj,,oj,
胋,月卜口,ehkg,ehkg,71260,qij,tian2,ㄊㄧㄢˊ,tm,tm,tm,tm,tw,tf,ov,,ov,
背,中心月,uxe|uxef,uxe|uxef,12227,tirq|trq,bei4|bei1,ㄅㄟˋ|ㄅㄟ,bw,bz,bz,bz,bq,bk,bo,lo,ob,1.0
胍,月竹女人,erc|ercy,erc|ercy,72230,qps,gua1|gu1|hu4,ㄍㄨㄚ|ㄍㄨ|ㄏㄨˋ,gx|gu|hu,gw|gu|hu,gw|gu|hu,gw|gu|hu,gd|gu|hu,gx|gu|hu,og,og,og,2.0
胎,月戈口,ec|eck|eckg,eck|eckg,73260,qzj,tai1,ㄊㄞ,td,tl,tl,tl,tl,tp,ok,ok,ot,1.0
胏,月中難竹,etnt,etnt,75227,qmim,zi3|fei4,ㄗˇ|ㄈㄟˋ,zi|fw,zi|fz,zi|fz,zi|fz,zi|fq,zi|fk,od,,oz,
胐,月山山|重月山山,mub|mubm,ebmh,72272,qzzi,fei3,ㄈㄟˇ,fw,fz,fz,fz,fq,fk,oi,,oi,
胑,月口金,ekwy,ekwy,76280,qjo,zhi1,ㄓ,vi,vi,vi,vi,ai,ui,ov,,ov,
胒,月尸心,enx|enxn,enxn,77212,qxr|qxrr,ni4,ㄋㄧˋ,ni,ni,ni,ni,ni,ni,ob,,on,
胓,月一火十,egu|eguf,eguh,71249,qau|qaua,ping2|peng1,ㄆㄧㄥˊ|ㄆㄥ,pk|pg,p;|pg,py|pg,p;|pg,py|pg,p;|pt,op,,op,
胔,卜心人月人,hxmw,hxmw,22227,iio|iioo,zi4|ci2|ji2,ㄗˋ|ㄘˊ|ㄐㄧˊ,zi|ci|ji,zi|ci|ji,zi|ci|ji,zi|ci|ji,zi|ci|ji,zi|ci|ji,vr,,rc|sd,
胕,月人木戈,ewfy,ewfy,74200,qnd|qnds,fu3|fu1|fu2|zhou3,ㄈㄨˇ|ㄈㄨ|ㄈㄨˊ|ㄓㄡˇ,fu|vz,fu|vb,fu|vb,fu|vb,fu|ab,fu|uz,oc,,of,
胖,月火手,eug|eugh,euf|eufh,79250,qu|qub,pang4|pan2|pan4,ㄆㄤˋ|ㄆㄢˊ|ㄆㄢˋ,ph|pj,ph|pj,ph|pj,ph|pj,ph|pj,ps|pr,ob,ob,ob,1.0
胗,月人竹竹,ewe|ewet,ewe|ewet,78222,qop|qopd,zhen1|zhen3|zhun1,ㄓㄣ|ㄓㄣˇ|ㄓㄨㄣ,vf|vy,vf|vp,vf|vp,vf|vp,af|an,uw|um,op,op,op,2.0
胘,月卜女戈,eyxy,eyxy,70232,qszz,xian2,ㄒㄧㄢˊ,xm,xm,xm,xm,xw,xf,ox,,ox,
胙,月人尸,ethf,eth|ethf,78211,qmid,zuo4,ㄗㄨㄛˋ,zo,zo,zo,zo,zo,zo,ov,ov,ov,2.0
胚,月一火一,edh|edhg,egi|egig,71219,qga,pei1,ㄆㄟ,pw,pz,pz,pz,pq,pk,op,op|oa,op,1.0
胛,月田中,elh,elh,76250,qki|qkib,jia3,ㄐㄧㄚˇ,jx,jw,jw,jw,jd,jx,oj,oj,oj,2.0
胜,月竹手一,etg|etgg,etg|etgg,75210,qm|qmc,sheng4|xing1|qing4|sheng1,ㄕㄥˋ|ㄒㄧㄥ|ㄑㄧㄥˋ|ㄕㄥ,ug|xk|qk,ug|x;|q;,ug|xy|qy,ug|x;|q;,vg|xy|qy,it|x;|q;,ou,ou,ou,1.0
胝,月竹心一|月竹女戈|重月竹心一,eqa|eqay,eqa|eqay,72240,qrs,zhi1|chi1|di4,ㄓ|ㄔ|ㄉㄧˋ,vi|ii|di,vi|ii|di,vi|ii|di,vi|ii|di,ai|ei|di,ui|ai|di,ou,od,od,2.0
胞,月心口山|月心尸山,eqn|eqnn,eqn|eqnn,77212,qry,bao1|pao2|pao4,ㄅㄠ|ㄆㄠˊ|ㄆㄠˋ,bc|pc,bk|pk,bk|pk,bk|pk,bk|pk,bq|pq,ob,os,ob,1.0
胟,月田卜戈,exy,exgu,77250,qzy,mu3,ㄇㄨˇ,mu,mu,mu,mu,mu,mu,om,,om,
胠,月土戈,efcy,efcy,74232,qbzs,qu1,ㄑㄩ,qu,qu,qu,qu,qu,qu,oq,os,oq,3.0
胡,十口月,de|deg,de|deg,47620,edjq|ejq,hu2,ㄏㄨˊ,hu,hu,hu,hu,hu,hu,go,uo,og,1.0
胢,月一弓口,esk|eskg,eskg,71220,qaj,ke1,ㄎㄜ,ke,ke,ke,ke,ke,ke,ok,,ok,
胣,月人心木,etb|etbn,etbn,78212,qmyi,chi3,ㄔˇ,ii,ii,ii,ii,ei,ai,oy,oy,oy,3.0
胤,中女月山,txen,txen,22010,mzq|rdz|rdzq|rzq|rzz,yin4,ㄧㄣˋ,yb,yn,yn,yn,yc,yy,eo,pv,pg|eo,2.0
胥,弓人月,nhe|nhef,nhe|nhef,17227,xiq,xu1|xu3,ㄒㄩ|ㄒㄩˇ,xu,xu,xu,xu,xu,xu,zo,vo,op|po,2.0
胦,月中月大,emdy,emdy,75280,qlg|qlgd,yang1,ㄧㄤ,yh,yh,yh,yh,yh,ys,oy,,oy,
胧,月戈大心,edx|edxy,edx|edxn,73214,qgm,long2,ㄌㄨㄥˊ,ls,ls,ls,ls,ls,lh,ol,ol,ol,1.0
胨,月大木,eai|eaiy,eai|eaiy,74294,qhk|qhko,dong4,ㄉㄨㄥˋ,ds,ds,ds,ds,ds,dh,od,od,od,2.0
胩,月卜一卜,ehh|ehhy,ehh|ehhy,71231,qia|qiai|qii,ka3,ㄎㄚˇ,ka,ka,ka,ka,ka,ka,ob,ob,ok,3.0
胪,月卜尸,ehn|ehnt,ehnt,71207,qix|qixm,lu2,ㄌㄨˊ,lu,lu,lu,lu,lu,lu,ou,ou,ol,2.0
胫,月弓人一,eca|ecag,eca|ecag,77212,qxb|qxbi,jing4,ㄐㄧㄥˋ,jk,j;,jy,j;,jy,j;,oj,og,og,2.0
胬,女水人月人,vcmw,vcmw,47227,zmoo|zxl|zxo,nu3|nv3,ㄋㄨˇ|ㄋㄩˇ,nu|nv,nu|ny,nu|nv,nu|ny,nu|nv,nu|nv,nr,nr,rn,2.0
胭,月田大,eld|eldy,eld|eldy,76200,qjd,yan1,ㄧㄢ,yj,yj,yj,yj,yj,yr,oy,od,oy,2.0
胮,月竹水手,etgh,etah,77254,qrm|qrmb,pang1,ㄆㄤ,ph,ph,ph,ph,ph,ps,of,,oj,
胯,月大一尸,ed|edf|edfn,edf|edfn,74227,qgb|qgbz,kua4|kua3,ㄎㄨㄚˋ|ㄎㄨㄚˇ,kx,kw,kw,kw,kd,kx,ok,ok,ok,2.0
胰,月大弓,egx|egxw,egx|egxw,75282,qgy|qgyz,yi2,ㄧˊ,yi,yi,yi,yi,yi,yi,oy,oy,oy,1.0
胱,月火一山,eig|eigq,eiq|eiqn,79212,qkg|qkgr,guang1,ㄍㄨㄤ,gl,gd,gd,gd,gt,gg,og,ow,og,2.0
胲,月卜女人,eynw,eynw,70282,qszo,hai3|gai1|gai3,ㄏㄞˇ|ㄍㄞ|ㄍㄞˇ,hd|gd,hl|gl,hl|gl,hl|gl,hl|gl,hp|gp,or,or,oh,3.0
胳,月竹水口,etk|etkg,etk|etkg,77264,qrj,ge1|ge2|ga1,ㄍㄜ|ㄍㄜˊ|ㄍㄚ,ge|ga,ge|ga,ge|ga,ge|ga,ge|ga,ge|ga,ok,ok,og,1.0
胴,月月一口,emg|emgk,emg|emgk,77220,qld,dong4,ㄉㄨㄥˋ,ds,ds,ds,ds,ds,dh,ok,ok,ot,2.0
胵,月一戈土,egcf,egcf,71214,qhb,chi1|zhi4,ㄔ|ㄓˋ,ii|vi,ii|vi,ii|vi,ii|vi,ei|ai,ai|ui,ot,,ov,
胶,月卜金大,eu|eur|eury,eu|euq|euqy,70248,q|qsoo,jiao1|xiao2,ㄐㄧㄠ|ㄒㄧㄠˊ,jn|xn,jc|xc,jc|xc,jc|xc,jz|xz,jb|xb,of,ox,oj,1.0
胷,心山月,qrbe,qqbe,27227,ryzq,xiong1,ㄒㄩㄥ,xs,xs,xs,xs,xs,xh,bo,,ox,
胸,月心山大,eq|eqr|eqrb,eq|eqq|eqqb,77220,qro|qroz,xiong1,ㄒㄩㄥ,xs,xs,xs,xs,xs,xh,ox,ok,ox,1.0
胹,月一月中,edmj,edmj,71227,qgl,er2,ㄦˊ,er,or,er,or,or,oj,oe,,oe,
胺,月十女,epv|epvg,epv|epvg,73244,qwz|qwzm,an4|e4,ㄢˋ|ㄜˋ,an|ee,oj|oe,an|ee,oj|oe,oj|oe,or|oe,on,on,oa,2.0
胻,月竹人弓,etgs,etfh,71221,qoi,heng2,ㄏㄥˊ,hg,hg,hg,hg,hg,ht,od,,ox,
胼,月廿廿,eua|euah,eua|euah,78241,que,pian2,ㄆㄧㄢˊ,pm,pm,pm,pm,pw,pf,ok,ok,ob,2.0
能,戈月心心,ce|cexx,ce|cex|cexx,22212,zq|zsrr,neng2|tai2|nai2|nai4|xiong2,ㄋㄥˊ|ㄊㄞˊ|ㄋㄞˊ|ㄋㄞˋ|ㄒㄩㄥˊ,ng|td|nd|xs,ng|tl|nl|xs,ng|tl|nl|xs,ng|tl|nl|xs,ng|tl|nl|xs,nt|tp|np|xh,sb,sb,sb,1.0
胾,十戈人月人,famw,famw,43250,eho|ehoo,zi4,ㄗˋ,zi,zi,zi,zi,zi,zi,gr,,gr|hd|rg|ug,
胿,月土土,eff|effg,effg,74214,qbb,gui1|kui4,ㄍㄨㄟ|ㄎㄨㄟˋ,gv|kv,gv|kv,gv|kv,gv|kv,gm|km,gn|kn,ot,,og,
脀,弓水一月,bige,bige,17227,xkaq,cheng2|zheng1|zheng4,ㄔㄥˊ|ㄓㄥ|ㄓㄥˋ,ig|vg,ig|vg,ig|vg,ig|vg,eg|ag,at|ut,lo,,oi,
脁,月中一人|重月中一人,muqi,eiqn,72213,qvrd,tiao3,ㄊㄧㄠˇ,tn,tc,tc,tc,tz,tb,ov,,ov,
